theta,theta_dot,tau,J,b,k
1.9357984882833768,1.3894361195843998,1.9219145276055165,0.5190822524419733,0.3086267350739535,1.1482340041887253
1.9495621964110577,1.3763708127680856,1.9732682567173954,0.5191804053398446,0.30867152679294885,1.148215597147928
1.9631784682594589,1.361627184840116,1.8977848210839234,0.5192785390573121,0.30871631634406255,1.1481970952491536
1.9766675376813574,1.348906942189858,2.0138371124879644,0.5193766534962422,0.3087611037160972,1.1481784985042431
1.9899950800526969,1.332754237133941,1.8469883859965168,0.5194747485585204,0.308805888897856,1.148159806925099
2.003164531509022,1.3169451456325165,1.875019591778231,0.5195728241460517,0.3088506718781425,1.148141020523683
2.0161515104032683,1.2986978894246333,1.7584191447729283,0.5196708801607605,0.3088954526457612,1.1481221393120193
2.028964041451954,1.2812531048685738,1.809244276258757,0.5197689165045907,0.30894023118951675,1.1481031633021914
2.041612985806314,1.2648944354360185,1.8748762097568972,0.5198669330795062,0.30898500749821456,1.148084092506344
2.0540650578099893,1.2452072003675305,1.711127134453174,0.5199649297874901,0.3090297815606605,1.1480649269366825
2.0663452971660954,1.2280239356106226,1.8493844865296414,0.520062906530546,0.3090745533656611,1.1480456666054728
2.0784412059082262,1.2095908742130896,1.793008984510493,0.5201608632106969,0.30911932290202343,1.1480263115250415
2.0903466126865693,1.190540677834293,1.768923597863689,0.5202587997299863,0.3091640901585551,1.1480068617077759
2.10205425635753,1.1707643670960817,1.7387435088028225,0.5203567159904778,0.30920885512406426,1.147987317166124
2.113581220111222,1.152696375369207,1.8347964974261166,0.5204546118942549,0.30925361778735966,1.147967677912594
2.124917144013174,1.1335923901952243,1.7883456353561549,0.5205524873434219,0.30929837813725064,1.147947943959755
2.1360661699312105,1.1149025918036242,1.816836164553178,0.5206503422401032,0.3093431361625472,1.1479281153202372
2.1470039647274657,1.0937794796255165,1.696963002784186,0.5207481764864439,0.3093878918520598,1.1479081920067307
2.1577280751788117,1.0724110451346127,1.6900051966669394,0.52084598998461,0.30943264519459945,1.1478881740319862
2.168227855520971,1.049978034215904,1.6400403641922603,0.5209437826367878,0.3094773961789778,1.1478680614088155
2.178515288899525,1.0287433378554116,1.7073712246334083,0.5210415543451846,0.3095221447940072,1.1478478541500903
2.18857469117419,1.0059402274664906,1.6306650383842758,0.5211393050120289,0.30956689102850043,1.1478275522687438
